start,end,text
160,9800," ♪"
9800,13600," Welcome to IBM Think 2023."
13600,17520," ♪"
17520,21020," AI-generated art."
21020,23820," AI-generated songs."
23820,25740," AI, what is that?"
25740,27860," It sure is a lot of fun."
27860,30980," But when foundation models are applied to big business,"
30980,33360," well, you need to think bigger."
33360,37420," Because AI in business needs to be held to a higher standard."
37420,40780," Built to be trusted, secured, and adaptable."
40780,44460," This isn't simple automation that is only trained to do one thing."
44460,48840," This is AI that is built and focused to work across your organization."
48840,50920," This isn't committing to a single system."
50920,55020," This is hybrid-ready AI that can scale across your systems."
55020,57480," This isn't wondering where an answer came from."
57480,60980," This is AI that can show its work."
60980,63240," When you build AI into the core of your business,"
63240,66020," you can go so much further."
66020,67540," This is more than AI."
67540,71500," This is AI for business."
71500,74460," Let's create."
74460,78080," Please welcome Senior Vice President and Director"
78080,82000," of Research, IBM, Dr. Dario Gil."
82000,87100," Hello."
87100,88400," Welcome."
88400,88900," Welcome."
88900,90820," The last session of \"Think.\""
90820,93740," And I understand some of you even had a drink."
93740,95440," How special."
95440,99400," So I hope you've enjoyed the last two days with us."
99400,103920," And what an incredible year it has been for AI."
103920,108320," You can really feel the change that is happening all around us."
108320,112420," And it's just not denying that the pace of this technology"
112420,116980," continues to be exhilarating, and that its implications"
116980,121520," are now so clear for all to see around the globe."
121520,124320," I'm just fascinated by AI."
124320,128400," And as a technologist, this level of excitement"
128400,132820," really comes about only maybe once or twice every decade."
132820,136860," And I'm just thrilled to see all the possibilities"
136860,139100," that this technology is going to enable."
139100,142720," Because it's really going to impact every industry,"
142720,146360," from customer care to transforming data centers"
146360,150180," and logistics to medicine to manufacturing to energy"
150180,153220," to the automotive industry to aerospace, communications,"
153220,154420," you name it."
154420,157820," It's really going to impact every one of our businesses"
157820,160940," and really touch every aspect of our lives."
160940,162300," So it's really exciting."
162300,165920," And while sometimes the pace of this technology"
165920,170660," can feel daunting and scary, the opportunities"
170660,174040," to harness foundation models and generative AI"
174040,175980," with proper governance-- the opportunity"
175980,177060," is going to be immense."
177060,179080," The opportunities are immense."
179080,182740," The emergence of foundation models and generative AI"
182740,185360," is really a defining moment."
185360,188620," And we need to recognize its importance."
188620,191420," We need to capture the moment."
191420,195620," And my advice is, don't be just an AI user."
195620,198100," Be an AI value creator."
198100,199700," Just think about it."
199700,204820," As an AI user, you are limited to just prompting someone else's"
204820,205860," AI model."
205860,207660," It's not your model."
207660,211580," You have no control over the model or the data."
211580,213540," Just think carefully about whether that's"
213540,216400," the world you want to live in."
216400,219320," As an AI value creator, on the other hand,"
219320,221680," you have multiple entry points."
221680,226000," You can bring your own data and AI models to Watson X"
226000,230720," or choose from a library of tools and technologies."
230720,234280," You can train or influence training if you want."
234280,235740," You can tune."
235740,239760," You can have transparency and control over the governing data"
239760,241380," and AI models."
241380,243340," You can prompt it, too."
243340,248080," Instead of only one models, you will have a family of models."
248080,251240," And through this creative process, you can improve them."
251240,254260," And you can make them your own, your own models."
254260,258380," Foundation models that are trained with your data"
258380,262100," will become your most valuable asset."
262100,265620," And as a value creator, you will own that."
265620,267260," You can control the value that they"
267260,269660," will create for your business."
269660,271980," So don't outsource that."
271980,276720," You can simply control your destiny with foundation models."
276720,280500," So let me show you how we become and allow"
280500,284680," you to become a value creator with Watson X."
284680,288380," Watson X is our new integrated data and AI platform."
288380,291680," It consists of three primary parts."
291680,294300," First, WatsonX.data."
294300,295500," It is our massive, curated, data"
295500,300200," repository that is ready to be tapped to train and fine-tune"
300200,305220," models with state-of-the-art data management system."
305220,306920," WatsonX.ai."
306920,311060," This is an enterprise studio to train, validate, tune,"
311060,314160," and deploy traditional machine learning and foundation"
314160,317880," models that provide generative capabilities."
317880,320360," And WatsonX.governance."
320360,325380," This is a powerful set of tools to ensure your AI is executing"
325380,327400," responsibly."
327400,331800," WatsonX.data, WatsonX.ai, WatsonX.governance."
331800,335540," They work together seamlessly throughout the entire lifecycle"
335540,337740," of foundation models."
337740,342060," And true to our commitment to hybrid cloud architectures,"
342060,346260," WatsonX is built on top of Red Hat OpenShift."
346260,348620," Not only does it provide seamless integration"
348620,355260," of WatsonX components, it allows you to access and deploy your AI work"
355260,360500," workloads in any IT environment, no matter where they are located."
360500,364720," WatsonX.data is the AI platform for value creators."
364720,370180," Look, I don't need to tell you that deploying these technologies"
370180,372760," is not easy at the enterprise level."
372760,374680," But the platform changes that."
374680,379880," So let's take a look now of how an entire AI workflow, end-to-end,"
379880,381740," works in the platform."
381740,385140," The lifecycle consists of preparing our data,"
385140,389040," using it to train the model, validate the model, tune it,"
389040,392360," and deploy in applications and solutions."
392360,394600," So let's start with data preparation."
394600,396460," So say you're a data scientist and want"
396460,399780," to access the data that is in a public cloud, some that"
399780,404520," is on-prem, some that may be in another external database,"
404520,407180," or on a public cloud, a second one,"
407180,411080," or anywhere else outside your hybrid cloud platform."
411080,413640," So you access the platform from your laptop"
413640,415020," and invoke WatsonX.data."
415020,419520," It establishes the necessary connections between the data"
419520,423060," sources so you can access the data easily."
423060,427660," We've been building our IBM data pile, combining raw data collected"
427660,431640," from public sources with IBM proprietary data."
431640,433940," We're bringing data from different domains--"
433940,440180," the internet, code, academic sources, enterprise, and more."
440180,444900," We have used WatsonX.data to collect petabytes of data"
444900,450580," across dozens of domains to produce trillions of tokens"
450580,453980," that we can use to train foundation models."
453980,457340," And besides the raw data and our proprietary data,"
457340,460480," we allow clients to bring their own data"
460480,463400," to enrich and improve their purpose-built foundation"
463400,464460," models."
464460,469100," It is all stored in dot data with granular metadata that"
469100,473820," provides traceable governance for each file or document."
473820,474780," So now we take--"
474780,478180," --this, and we move to filter and process the data."
478180,482260," First, we identify the provenance and the ID of the data."
482260,484320," Then we need to categorize it."
484320,489180," We classify it, for example, in a pile for different languages--"
489180,492560," let's say English, Spanish, German, and so on--"
492560,495340," a pile of code data that we then separate by programming"
495340,499260," language-- Java, Ansible, COBOL, and so on--"
499260,502120," and any other category that we have."
502120,504120," Now we filter it."
504120,504660," We do analytics."
504660,507760," We do analytics and get rid of duplicated data."
507760,511940," Now we identify hate, abuse, and profanity in the data,"
511940,513720," and we remove it."
513720,517200," We filter it for private information, licensing"
517200,520100," constraints, and data quality."
520100,522420," By annotating, we allow data scientists"
522420,528120," to determine the right thresholds for their filtering."
528120,530220," Having done all of that, the pile"
530220,532820," is now ready for the next step."
532820,534540," We version and tag the data."
534540,539660," Each data set, after being filtered and preprocessed,"
539660,542240," receives a data card."
542240,545560," The data card has the name and the version of the pile,"
545560,548980," specifies its content, and filters"
548980,552680," that have been applied to it, and any other relevant content"
552680,558280," to make it easy to manage and track different choices that"
558280,560520," of the work and the right subsets of the data"
560520,564420," that we've used to develop the foundation models."
564420,566500," We can have multiple data piles."
566500,569440," They coexist in dot data, and access"
569440,572380," to different versions of data for different purpose"
572380,574400," is managed seamlessly."
574400,576540," So we're now ready to take the pile"
576540,578460," and start training our model."
578460,581840," This is step two in our AI workflow."
581840,585420," So we move from dot data to dot AI,"
585420,588700," and start by picking a model architecture from the five"
588700,591400," families that IBM provides."
591400,594300," These are bedrocks of models, and they're"
594300,598540," changed from encoder-only, encoder-decoder, decoder-only,"
598540,600820," and other novel architectures."
600820,604180," So let's pick the encoder-decoder sandstone"
604180,609220," to train the model, and pick a target data pile version"
609220,611980," from the piles that is in dot data."
611980,614860," Dot AI allows training with computing resources"
